,Unnamed: 0,Lat,Lon,Bathy
0,0,-80,-180,-681.0
1,1,-80,-179,-659.0
2,2,-80,-178,-638.0
3,3,-80,-177,-613.0
4,4,-80,-176,-589.0
5,5,-80,-175,-523.0
6,6,-80,-174,-516.75
7,7,-80,-173,-616.0
8,8,-80,-172,-624.0
9,9,-80,-171,-627.5
10,10,-80,-170,-583.5
11,11,-80,-169,-535.0
12,12,-80,-168,-542.25
13,13,-80,-167,-597.0
14,14,-80,-166,-623.5
15,15,-80,-165,-617.0
16,16,-80,-164,-595.5
17,17,-80,-163,-652.0
18,18,-80,-162,-676.5
19,19,-80,-161,-630.0
20,20,-80,-160,-609.5
21,21,-80,-159,-646.75
22,22,-80,-158,-658.25
23,23,-80,-157,-575.5
24,24,-80,-156,-603.5
25,25,-80,-155,-529.25
26,26,-80,-154,-686.75
27,27,-80,-153,-709.5
28,28,-80,-152,-740.0
29,29,-80,-151,-666.25
30,30,-80,-150,-746.5
31,31,-80,-149,-784.0
32,32,-80,-148,-757.0
33,33,-80,-147,-792.0
34,34,-80,-146,-758.75
35,35,-80,-145,-896.5
36,36,-80,-144,-716.0
37,37,-80,-143,-927.5
38,38,-80,-142,-781.25
39,39,-80,-141,-676.5
40,40,-80,-140,-630.25
41,41,-80,-139,-551.0
42,42,-80,-138,-694.25
43,43,-80,-137,-880.5
44,44,-80,-136,-1042.0
45,47,-80,-133,-786.75
46,48,-80,-132,-777.75
47,49,-80,-131,-769.5
48,50,-80,-130,-918.0
49,51,-80,-129,-798.25
50,52,-80,-128,-681.5
51,53,-80,-127,-899.0
52,54,-80,-126,-761.0
53,55,-80,-125,-1077.75
54,56,-80,-124,-1016.0
55,57,-80,-123,-558.25
56,58,-80,-122,-816.75
57,59,-80,-121,-889.25
58,60,-80,-120,-949.5
59,61,-80,-119,-844.0
60,62,-80,-118,-833.75
61,63,-80,-117,-960.0
62,64,-80,-116,-923.75
63,65,-80,-115,-1058.25
64,66,-80,-114,-1623.5
65,67,-80,-113,-1657.0
66,68,-80,-112,-1791.0
67,69,-80,-111,-1813.0
68,70,-80,-110,-1707.0
69,71,-80,-109,-1683.25
70,72,-80,-108,-1577.25
71,73,-80,-107,-1333.5
72,74,-80,-106,-1115.0
73,75,-80,-105,-1044.25
74,76,-80,-104,-859.0
75,77,-80,-103,-1011.5
76,78,-80,-102,-1285.25
77,79,-80,-101,-1264.25
78,80,-80,-100,-1152.75
79,81,-80,-99,-1163.5
80,82,-80,-98,-735.5
81,84,-80,-96,-526.0
82,101,-80,-79,-1240.75
83,103,-80,-77,-973.5
84,104,-80,-76,-1179.25
85,105,-80,-75,-1210.25
86,106,-80,-74,-1222.0
87,107,-80,-73,-1227.5
88,108,-80,-72,-1157.0
89,109,-80,-71,-1088.5
90,110,-80,-70,-1055.0
91,111,-80,-69,-1041.5
92,112,-80,-68,-1056.5
93,113,-80,-67,-1051.0
94,114,-80,-66,-674.0
95,115,-80,-65,-591.5
96,116,-80,-64,-589.0
97,117,-80,-63,-559.0
98,119,-80,-61,-519.25
99,120,-80,-60,-541.5
100,121,-80,-59,-700.0
101,122,-80,-58,-945.75
102,123,-80,-57,-1078.0
103,124,-80,-56,-1038.5
104,125,-80,-55,-961.5
105,126,-80,-54,-717.75
106,130,-80,-50,-513.5
107,137,-80,-43,-1121.0
108,138,-80,-42,-1346.5
109,139,-80,-41,-1331.5
110,140,-80,-40,-1273.0
111,141,-80,-39,-1080.75
112,142,-80,-38,-993.5
113,143,-80,-37,-1007.5
114,144,-80,-36,-1054.0
115,145,-80,-35,-1003.5
116,146,-80,-34,-1025.0
117,147,-80,-33,-1037.5
118,148,-80,-32,-1033.5
119,149,-80,-31,-990.75
120,150,-80,-30,-1195.75
121,151,-80,-29,-1616.75
122,152,-80,-28,-1829.25
123,153,-80,-27,-1979.5
124,154,-80,-26,-1963.0
125,155,-80,-25,-2055.0
126,156,-80,-24,-2458.0
127,157,-80,-23,-2050.75
128,158,-80,-22,-1948.0
129,167,-80,-13,-503.0
130,169,-80,-11,-575.75
131,172,-80,-8,-645.5
132,173,-80,-7,-681.5
133,174,-80,-6,-724.5
134,175,-80,-5,-721.0
135,176,-80,-4,-537.5
136,177,-80,-3,-516.5
137,319,-80,139,-602.2500000000034
138,320,-80,140,-550.4999999999795
139,342,-80,162,-610.7500000000102
140,343,-80,163,-864.5000000000068
141,344,-80,164,-1092.2500000000034
142,345,-80,165,-945.0
143,346,-80,166,-871.5
144,347,-80,167,-863.5
145,348,-80,168,-773.2499999999966
146,349,-80,169,-642.7499999999966
147,350,-80,170,-552.5
148,351,-80,171,-563.2500000000034
149,352,-80,172,-584.0
150,353,-80,173,-638.5
151,354,-80,174,-659.5
152,355,-80,175,-701.0
153,356,-80,176,-765.5
154,357,-80,177,-731.0
155,358,-80,178,-730.0
156,359,-80,179,-703.0
157,360,-79,-180,-746.5
158,361,-79,-179,-722.75
159,362,-79,-178,-675.0
160,363,-79,-177,-599.0
161,364,-79,-176,-628.75
162,365,-79,-175,-592.0
163,366,-79,-174,-548.5
164,367,-79,-173,-531.0
165,368,-79,-172,-568.5
166,369,-79,-171,-577.0
167,370,-79,-170,-584.25
168,371,-79,-169,-536.5
169,372,-79,-168,-553.0
170,373,-79,-167,-552.0
171,374,-79,-166,-522.0
172,380,-79,-160,-676.5
173,381,-79,-159,-675.0
174,382,-79,-158,-646.5
175,383,-79,-157,-595.5
176,389,-79,-151,-534.75
177,390,-79,-150,-768.0
178,392,-79,-148,-539.5
179,393,-79,-147,-739.5
180,394,-79,-146,-575.25
181,398,-79,-142,-774.25
182,399,-79,-141,-946.5
183,400,-79,-140,-913.25
184,403,-79,-137,-568.0
185,405,-79,-135,-657.0
186,406,-79,-134,-783.5
187,407,-79,-133,-1125.0
188,408,-79,-132,-889.75
189,409,-79,-131,-810.75
190,410,-79,-130,-548.5
191,411,-79,-129,-548.75
192,414,-79,-126,-724.75
193,415,-79,-125,-589.25
194,416,-79,-124,-724.0
195,417,-79,-123,-764.75
196,418,-79,-122,-723.0
197,419,-79,-121,-1066.5
198,420,-79,-120,-926.5
199,421,-79,-119,-1080.75
200,422,-79,-118,-1065.75
201,423,-79,-117,-1081.75
202,424,-79,-116,-517.25
203,425,-79,-115,-869.75
204,426,-79,-114,-931.0
205,427,-79,-113,-1298.25
206,428,-79,-112,-1573.0
207,429,-79,-111,-1117.0
208,430,-79,-110,-1175.25
209,431,-79,-109,-714.0
210,432,-79,-108,-798.25
211,433,-79,-107,-670.75
212,434,-79,-106,-1236.0
213,435,-79,-105,-801.0
214,436,-79,-104,-815.5
215,437,-79,-103,-1377.75
216,438,-79,-102,-1456.5
217,439,-79,-101,-609.25
218,440,-79,-100,-1190.25
219,441,-79,-99,-1166.25
220,442,-79,-98,-1269.5
221,443,-79,-97,-1520.5
